ICAO,Ident,Operator,Type,#CMPG,$Tag,#$Tag 2,Category
405588,G-RIDA,National Grid Electricity Transmission,Eurocopter Twin Squirrel AS.355 NP,Civ,Wichita Lineman,,Dogs with Jobs
400E5E,G-AWNT,Pixair Survey SAS,BN-2A Islander-2A,Civ,Magic Roundabout,Is This My Good Side,Dogs with Jobs
43C45B,XX327,RAF Centre of Aviation Medicine / Qinetiq,Hawk T1,Mil,Pass The Sick Bag,,Dogs with Jobs
407986,G-SVAN,Skydive UK,Cessna 208 B,Civ,Skydive,Foutje Bedankt,Dogs with Jobs
C001BB,C-FARA,Summit Air,Short Skyvan 3-100,Civ,Skydive,Flying Brick,Dogs with Jobs
40668B,G-WPDA,Western Power Distribution,Eurocopter EC135 P1,Civ,Wichita Lineman,Big Bird,Dogs with Jobs
40668C,G-WPDB,Western Power Distribution,Eurocopter EC135 P1,Civ,Wichita Lineman,Big Bird,Dogs with Jobs
4067CD,G-WPDC,Western Power Distribution,Eurocopter EC135 P1,Civ,Wichita Lineman,Big Bird,Dogs with Jobs
4067CE,G-WPDD,Western Power Distribution,Eurocopter EC135 P1,Civ,Wichita Lineman,Big Bird,Dogs with Jobs
406E1B,G-WPDE,Western Power Distribution,Eurocopter EC135 P1,Civ,Wichita Lineman,Big Bird,Dogs with Jobs
010058,SU-BNP,Government of Egypt,Gulfstream Aerospace GIV SP,Gov,Government,,Governments
505C07,OM-BYB,Government of Slovakia,Fokker F100,Gov,Government,,Governments
43C6F9,ZZ336,Royal Air Force,Airbus Voyager KC.3,Mil,Government,Boris,Governments
407918,G-TEKV,UK Border Force,Tekever AR5,Gov,You Aint Seen Me Right,,Governments
00A9B2,ZS-PTX,The SA Red Cross Mercy Service,Pilatus PC-XII 47,Civ,Wrong Turn at Albuquerque,Jesus He Knows Me,Jesus he Knows me
AB58C1,N830EC,Areus Trilogy LLC,Bombardier BD-100-1A10,Civ,Original Nuttah,U Wot m8,Just Because
40721E,G-HITI,Elstree Ink,Airbus Helicopters Squirrel AS.350 B3e,Civ,Choppa,,Just Because
4072C9,G-JRER,Private,Tecnam P.2006T,Civ,Odd,,Just Because
400DED,G-RULE,Private,Robinson R44 Raven II,Civ,You Came Here In That Thing,Choppa,Just Because
3D069D,D-EATH,Private Owner,Piper PA28,Civ,Wheelbarrow,Jesus He Knows Me,Just Because
A3026F,N293UP,United Parcel Service (UPS),MD11,Civ,You Came Here In That Thing,Flying Rust Bucket,Just Because
A77B6F,N581UP,United Parcel Service (UPS),Boeing 747,Civ,You Came Here In That Thing,Flying Rust Bucket,Just Because
4067BF,G-HEMN,Babcock MCS Onshore,Eurocopter EC135 T2+,Civ,M*A*S*H,Air Ambo,M*A*S*H
406C1B,G-CNWL,Cornwall Air Ambulance,Bell MD-900 Explorer,Civ,M*A*S*H,Air Ambo,M*A*S*H
40793d,G-DAAS,Devon Air Ambulance,Airbus Helicopters H145,Civ,M*A*S*H,Air Ambo,M*A*S*H
407152,G-DSAA,Dorset and Somerset Air Ambulance,Leonardo AW169,Civ,M*A*S*H,Air Ambo,M*A*S*H
3CC57D,D-CCCB,DRF Luftrettung,Gates Learjet 35 A,Civ,M*A*S*H,Bizjet,M*A*S*H
3DE205,D-HFVP,DRF Luftrettung,Aerospatiale SA-365N3 Dauphin 2,Civ,M*A*S*H,Air Ambo,M*A*S*H
3E167A,D-HZSC,DRF Luftrettung,Aerospatiale SA-365N2 Dauphin 2,Civ,M*A*S*H,Air Ambo,M*A*S*H
71032C,HZHMED,Government of Saudi Arabia,Boeing 757-23A,Gov,M*A*S*H,Dictator Alert,M*A*S*H
405F81,G-GWAC,Great Western Air Ambulance,Eurocopter EC135 T2+,Civ,M*A*S*H,Air Ambo,M*A*S*H
C02DE8,C-FRJZ,Latitude Air Ambulance,Israel Aircraft Industries 1125 Astra SP,Civ,M*A*S*H,Bizjet,M*A*S*H
4043AD,G-EHMS,London Air Ambulance,MD Helicopters MD 900 Explorer,Gov,M*A*S*H,Air Ambo,M*A*S*H
406B4D,G-NIAA,Northern Ireland Air Ambulance,Beech King Air B200,Civ,M*A*S*H,Air Ambo,M*A*S*H
710386,HZ-128,Saudi Armed Forces Medical Services,Lockheed L-100-30 Hercules,Gov,M*A*S*H,Dictator Alert,M*A*S*H
7103E8,HZ-MS4B,Saudi Armed Forces Medical Services,Gulfstream Aerospace G450,Mil,M*A*S*H,Dictator Alert,M*A*S*H
7101E0,HZ-MS5A,Saudi Armed Forces Medical Services,Gulfstream Aerospace GV,Gov,M*A*S*H,Dictator Alert,M*A*S*H
7103F5,HZ-MS5B,Saudi Armed Forces Medical Services,Gulfstream Aerospace GV,Gov,M*A*S*H,Air Ambo,M*A*S*H
4B1A02,HB-JWC,Swiss Air Ambulance AG,Bombardier Challenger 650,Civ,M*A*S*H,Air Ambo,M*A*S*H
4071EB,G-TCAA,The Children's Air Ambulance Service,Leonardo AW.169,Civ,M*A*S*H,Air Ambo,M*A*S*H
4071AA,G-WENU,Welsh Air Ambulance,Airbus Helicopters H145,Civ,M*A*S*H,Air Ambo,M*A*S*H
4071AB,G-WOBR,Welsh Air Ambulance,Airbus Helicopters H145,Civ,M*A*S*H,Air Ambo,M*A*S*H
406CBC,G-WLTS,Wiltshire Air Ambulance,Bell 429 Global Ranger,Civ,M*A*S*H,Air Ambo,M*A*S*H
40729C,G-SCIR,2 Excel Aviation,Piper PA-31 Navajo C,Civ,Eye In The Sky,You Aint Seen Me Right,Military Contractors
40729E,G-SCMR,2 Excel Aviation,Piper PA-31 Navajo C,Civ,Eye In The Sky,You Aint Seen Me Right,Military Contractors
40729D,G-SCTR,2 Excel Aviation,Piper PA-31 Navajo C,Civ,Eye In The Sky,You Aint Seen Me Right,Military Contractors
400C86,G-UMMI,2 Excel Aviation,Piper PA-31 Navajo C,Civ,Eye In The Sky,You Aint Seen Me Right,Military Contractors
400A76,G-CIFE,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
400F3D,G-FSEU,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
405F85,G-IASM,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
4012AD,G-IMEA,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
4055B7,G-JASS,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
400778,G-SWRD,2 Excel Aviation (Broadsword),Boeing 737-300 VIP,Civ,Eye In The Sky,,Military Contractors
4072CE,G-TGPG,2 Excel Aviation (Broadsword),Boeing 737-300 VIP,Civ,Eye In The Sky,,Military Contractors
401046,G-WCCP,2 Excel Aviation (Broadsword),Beechcraft King AIr B200,Civ,Eye In The Sky,,Military Contractors
406848,G-UKAL,Aero Lease UK (Police),Reims-Cessna F406 Caravan II,Civ,Eye In The Sky,,Military Contractors
406B79,G-VYGJ,AirTanker,Airbus A330 243,Civ,Fill Her Up,,Military Contractors
406D26,G-VYGK,AirTanker,Airbus A330 243,Civ,Fill Her Up,,Military Contractors
406D27,G-VYGL,AirTanker,Airbus A330 243,Civ,Fill Her Up,,Military Contractors
406E9F,G-VYGM,AirTanker,Airbus A330 243,Civ,Fill Her Up,,Military Contractors
406AD0,G-FFMV,Draken Europe,DA42M-NG Guardian,Civ,Specialist,Target Practice,Military Contractors
4009C8,G-FFRA,Draken Europe,Dassault Falcon 20DC,Civ,Specialist,Target Practice,Military Contractors
400E15,G-FRAD,Draken Europe,Dassault Falcon 20E,Civ,Specialist,Target Practice,Military Contractors
4009C9,G-FRAF,Draken Europe,Dassault Falcon 20E,Civ,Specialist,Target Practice,Military Contractors
4009CA,G-FRAH,Draken Europe,Dassault Falcon 20D,Civ,Specialist,Target Practice,Military Contractors
4009CB,G-FRAI,Draken Europe,Dassault Falcon 20DC,Civ,Specialist,Target Practice,Military Contractors
4009CC,G-FRAJ,Draken Europe,Dassault Falcon 20E,Civ,Specialist,Target Practice,Military Contractors
4009CD,G-FRAK,Draken Europe,Dassault Falcon 20D,Civ,Specialist,Target Practice,Military Contractors
4009D1,G-FRAP,Draken Europe,Dassault Falcon 20D,Civ,Specialist,Target Practice,Military Contractors
4009D2,G-FRAR,Draken Europe,Dassault Falcon 20D,Civ,Specialist,Target Practice,Military Contractors
4009D3,G-FRAS,Draken Europe,Dassault Falcon 20C,Civ,Specialist,Target Practice,Military Contractors
4009D4,G-FRAT,Draken Europe,Dassault Falcon 20C,Civ,Specialist,Target Practice,Military Contractors
